_time,_value,_measurement,sensor_name
2023-11-08 12:12:26.413542+01:00,1.6,PC,cpu0
2023-11-08 12:12:32.416813+01:00,0.0,PC,cpu0
2023-11-08 12:12:38.415976+01:00,1.6,PC,cpu0
2023-11-08 12:12:44.417983+01:00,0.0,PC,cpu0
2023-11-08 12:12:50.419118+01:00,0.0,PC,cpu0
2023-11-08 12:12:56.419513+01:00,0.0,PC,cpu0
2023-11-08 12:13:02.421153+01:00,0.0,PC,cpu0
2023-11-08 12:13:08.422131+01:00,0.0,PC,cpu0
2023-11-08 12:13:14.422961+01:00,0.0,PC,cpu0
2023-11-08 12:13:20.424829+01:00,0.0,PC,cpu0
2023-11-08 12:13:26.425776+01:00,0.0,PC,cpu0
2023-11-08 12:13:32.426482+01:00,15.6,PC,cpu0
2023-11-08 12:13:38.427511+01:00,1.6,PC,cpu0
2023-11-08 12:13:44.428150+01:00,1.6,PC,cpu0
2023-11-08 12:13:50.430651+01:00,0.0,PC,cpu0
2023-11-08 12:13:56.431506+01:00,0.0,PC,cpu0
2023-11-08 12:14:02.432046+01:00,9.2,PC,cpu0
2023-11-08 12:14:08.433800+01:00,0.0,PC,cpu0
2023-11-08 12:14:14.434754+01:00,0.0,PC,cpu0
2023-11-08 12:14:20.435607+01:00,4.6,PC,cpu0
2023-11-08 12:14:26.437267+01:00,0.0,PC,cpu0
2023-11-08 12:14:32.440131+01:00,0.0,PC,cpu0
2023-11-08 12:14:38.440842+01:00,0.0,PC,cpu0
2023-11-08 12:14:44.441981+01:00,1.6,PC,cpu0
2023-11-08 12:14:50.446094+01:00,3.1,PC,cpu0
2023-11-08 12:14:56.445661+01:00,0.0,PC,cpu0
2023-11-08 12:15:02.506073+01:00,0.0,PC,cpu0
2023-11-08 12:15:08.448166+01:00,0.0,PC,cpu0
2023-11-08 12:15:14.449224+01:00,12.5,PC,cpu0
2023-11-08 12:15:20.450246+01:00,1.6,PC,cpu0
2023-11-08 12:15:26.451833+01:00,0.0,PC,cpu0
2023-11-08 12:15:32.453508+01:00,0.0,PC,cpu0
2023-11-08 12:15:38.454376+01:00,0.0,PC,cpu0
2023-11-08 12:15:44.455973+01:00,9.2,PC,cpu0
2023-11-08 12:15:50.457437+01:00,0.0,PC,cpu0
2023-11-08 12:15:56.458077+01:00,1.6,PC,cpu0
2023-11-08 12:16:02.459558+01:00,1.5,PC,cpu0
2023-11-08 12:16:08.460695+01:00,34.4,PC,cpu0
2023-11-08 12:16:14.461795+01:00,0.0,PC,cpu0
2023-11-08 12:16:20.463633+01:00,0.0,PC,cpu0
2023-11-08 12:16:26.466832+01:00,0.0,PC,cpu0
2023-11-08 12:16:32.466219+01:00,3.2,PC,cpu0
2023-11-08 12:16:38.466934+01:00,1.6,PC,cpu0
2023-11-08 12:16:44.468415+01:00,0.0,PC,cpu0
2023-11-08 12:16:50.469091+01:00,0.0,PC,cpu0
2023-11-08 12:16:56.470518+01:00,1.6,PC,cpu0
2023-11-08 12:17:02.471378+01:00,0.0,PC,cpu0
2023-11-08 12:17:08.473364+01:00,0.0,PC,cpu0
2023-11-08 12:17:14.474610+01:00,14.1,PC,cpu0
2023-11-08 12:17:20.475188+01:00,1.6,PC,cpu0
2023-11-08 12:17:26.477653+01:00,0.0,PC,cpu0
2023-11-08 12:17:32.478507+01:00,3.1,PC,cpu0
2023-11-08 12:17:38.477787+01:00,0.0,PC,cpu0
2023-11-08 12:17:44.478229+01:00,0.0,PC,cpu0
2023-11-08 12:17:50.479411+01:00,3.1,PC,cpu0
2023-11-08 12:17:56.481945+01:00,0.0,PC,cpu0
2023-11-08 12:18:02.481127+01:00,0.0,PC,cpu0
2023-11-08 12:18:08.486684+01:00,3.1,PC,cpu0
2023-11-08 12:18:14.487680+01:00,0.0,PC,cpu0
2023-11-08 12:18:20.490450+01:00,0.0,PC,cpu0
2023-11-08 12:18:26.489853+01:00,0.0,PC,cpu0
2023-11-08 12:18:32.491286+01:00,1.6,PC,cpu0
2023-11-08 12:18:38.491974+01:00,0.0,PC,cpu0
2023-11-08 12:18:44.492682+01:00,0.0,PC,cpu0
2023-11-08 12:18:50.493826+01:00,0.0,PC,cpu0
2023-11-08 12:18:56.494620+01:00,0.0,PC,cpu0
2023-11-08 12:19:02.496419+01:00,0.0,PC,cpu0
2023-11-08 12:19:08.499484+01:00,0.0,PC,cpu0
2023-11-08 12:19:14.503194+01:00,0.0,PC,cpu0
2023-11-08 12:19:20.507691+01:00,0.0,PC,cpu0
2023-11-08 12:19:26.564082+01:00,0.0,PC,cpu0
2023-11-08 12:19:32.509133+01:00,0.0,PC,cpu0
2023-11-08 12:19:38.555790+01:00,0.0,PC,cpu0
2023-11-08 12:19:44.515813+01:00,0.0,PC,cpu0
2023-11-08 12:19:50.522074+01:00,0.0,PC,cpu0
